"family","taxon","author"
"Acanthaceae","Avicennia marina","(Forssk.) Vierh."
"Alseuosmiaceae","Periomphale balansae","Baill."
"Alseuosmiaceae","Platyspermation crassifolium","Guillaumin"
"Amborellaceae","Amborella trichopoda","Baill."
"Anacardiaceae","Euroschinus aoupiniensis","Hoff"
"Anacardiaceae","Euroschinus elegans","Engl."
"Anacardiaceae","Euroschinus jaffrei","Hoff"
"Anacardiaceae","Euroschinus obtusifolius","Engl."
"Anacardiaceae","Euroschinus rubromarginatus","Baker f."
"Anacardiaceae","Euroschinus verrucosus","Engl."
"Anacardiaceae","Euroschinus vieillardii","Engl."
"Anacardiaceae","Pleiogynium timoriense","(DC.) Leenh."
"Anacardiaceae","Semecarpus ater","(G. Forst.) Vieill."
"Anacardiaceae","Semecarpus balansae","Engl."
"Anacardiaceae","Semecarpus neocaledonicus","Engl."
"Annonaceae","Goniothalamus hmoope","Munzinger & D.M.Johnson"
"Annonaceae","Goniothalamus obtusatus","(Baill.) R.M.K.Saunders"
"Annonaceae","Huberantha nitidissima","(Dunal) Chaowasku"
"Annonaceae","Meiogyne baillonii","(Guillaumin) Heusden"
"Annonaceae","Meiogyne lecardii","(Guillaumin) Heusden"
"Annonaceae","Xylopia dibaccata","Däniker"
"Annonaceae","Xylopia vieillardii","Baill."
"Apiaceae","Apiopetalum glabratum","Baill."
"Apiaceae","Apiopetalum velutinum","Baill."
"Apocynaceae","Alstonia balansae","Guillaumin"
"Apocynaceae","Alstonia boulindaensis","Boiteau"
"Apocynaceae","Alstonia costata","(G.Forst.) R.Br."
"Apocynaceae","Alstonia lanceolata","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia lanceolifera","S.Moore"
"Apocynaceae","Alstonia lenormandii","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia odontophora","Boiteau"
"Apocynaceae","Alstonia quaternata","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia sphaerocapitata","Boiteau"
"Apocynaceae","Alstonia vieillardii","Van Heurck & Müll.Arg."
"Apocynaceae","Carissa spinarum","L."
"Apocynaceae","Cerbera manghas","L."
"Apocynaceae","Cerbera odollam","Gaertn."
"Apocynaceae","Cerberiopsis candelabra","Vieill. ex Pancher & Sebert"
"Apocynaceae","Cerberiopsis neriifolia","(S.Moore) Boiteau"
"Apocynaceae","Cerberiopsis obtusifolia","(Van Heurck & Müll.Arg.) Boiteau"
"Apocynaceae","Leichhardtia koniamboensis","(Guillaumin) Liede, Gâteblé & Meve"
"Apocynaceae","Ochrosia balansae","(Guillaumin) Baill. ex Guillaumin"
"Apocynaceae","Ochrosia brevituba","Boiteau"
"Apocynaceae","Ochrosia elliptica","Labill."
"Apocynaceae","Ochrosia grandiflora","Boiteau"
"Apocynaceae","Ochrosia inventorum","L.Allorge"
"Apocynaceae","Ochrosia lifuana","Guillaumin"
"Apocynaceae","Ochrosia miana","Baill. ex Guillaumin"
"Apocynaceae","Ochrosia oppositifolia","(Lam.) K.Schum."
"Apocynaceae","Ochrosia sevenetii","Boiteau"
"Apocynaceae","Ochrosia silvatica","Däniker"
"Apocynaceae","Ochrosia thiollierei","Montrouz."
"Apocynaceae","Rauvolfia balansae","(Baill.) Boiteau"
"Apocynaceae","Rauvolfia semperflorens","(Müll.Arg.) Schltr."
"Apocynaceae","Tabernaemontana cerifera","Pancher & Sebert"
"Apocynaceae","Tabernaemontana pandacaqui","Poir."
"Aquifoliaceae","Ilex sebertii","Pancher"
"Araliaceae","Meryta balansae","Baill."
"Araliaceae","Meryta coriacea","Baill."
"Araliaceae","Meryta denhamii","Seem."
"Araliaceae","Meryta oxylaena","Baill."
"Araliaceae","Meryta pachycarpa","Baill."
"Araliaceae","Meryta pandanicarpa","Guillaumin"
"Araliaceae","Meryta rivularis","Lowry"
"Araliaceae","Meryta schizolaena","Baill."
"Araliaceae","Meryta sonchifolia","(Linden) Linden & André"
"Araliaceae","Plerandra baillonii","(R.Vig.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra crassipes","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra elegantissima","(Veitch ex Mast.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra elongata","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra emiliana","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra gabriellae","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra leptophylla","(Veitch ex T.Moore) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra nono","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra osyana","(Veitch ex Regel) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra pachyphylla","(Harms) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra pancheri","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra plerandroides","(R. Vig.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra polydactylis","(Montr.) Lowry, G.M Plunkett & Frodin"
"Araliaceae","Plerandra reginae","(Linden ex W.Richards) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra veilloniorum","Lowry & G.M.Plunkett"
"Araliaceae","Plerandra veitchii","(Carrière) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Polyscias balansae","(Baill.) Harms"
"Araliaceae","Polyscias biformis","(Philipson) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias bracteata","(R.Vig.) Lowry"
"Araliaceae","Polyscias cissodendron","(C.Moore & F.Muell.) Harms"
"Araliaceae","Polyscias crenata","(Pancher & Sebert) Frodin"
"Araliaceae","Polyscias dioica","(Vieill. ex Pancher & Sebert) Harms"
"Araliaceae","Polyscias guilfoylei","(W.Bull) L.H.Bailey"
"Araliaceae","Polyscias lecardii","(R.Vig.) Lowry"
"Araliaceae","Polyscias mackeei","Lowry & G.M.Plunkett"
"Araliaceae","Polyscias microbotrys","(Baill.) Harms"
"Araliaceae","Polyscias otopyrena","(Baill.) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias pancheri","(Baill.) Harms"
"Araliaceae","Polyscias scopoliae","(Baill.) Lowry"
"Araliaceae","Polyscias vieillardii","(Baill.) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias weinmanniae","(Baill.) Harms"
"Araliaceae","Schefflera candelabrum","Baill."
"Araliaceae","Schefflera pseudocandelabrum","R.Vig."
"Araliaceae","Schefflera vieillardii","Baill."
"Araucariaceae","Agathis lanceolata","Warb."
"Araucariaceae","Agathis montana","de Laub."
"Araucariaceae","Agathis moorei","(Lindl.) Mast."
"Araucariaceae","Agathis ovata","(C.Moore ex Vieill.) Warb."
"Araucariaceae","Araucaria bernieri","J.Buchholz"
"Araucariaceae","Araucaria biramulata","J.Buchholz"
"Araucariaceae","Araucaria columnaris","(G.Forst.) Hook."
"Araucariaceae","Araucaria goroensis","R.R.Mill & Ruhsam"
"Araucariaceae","Araucaria humboldtensis","J.Buchholz"
"Araucariaceae","Araucaria laubenfelsii","Corbasson"
"Araucariaceae","Araucaria luxurians","(Brongn. & Gris) de Laub."
"Araucariaceae","Araucaria montana","Brongn. & Gris"
"Araucariaceae","Araucaria muelleri","(Carrière) Brongn. & Gris"
"Araucariaceae","Araucaria nemorosa","de Laub."
"Araucariaceae","Araucaria rulei","F.Muell."
"Araucariaceae","Araucaria schmidii","de Laub."
"Araucariaceae","Araucaria scopulorum","de Laub."
"Araucariaceae","Araucaria subulata","Vieill."
"Arecaceae","Actinokentia divaricata","(Brongn.) Dammer"
"Arecaceae","Actinokentia huerlimannii","H.E.Moore"
"Arecaceae","Basselinia deplanchei","(Brongn. & Gris) Vieill."
"Arecaceae","Basselinia eriostachys","(Brongn.) Becc."
"Arecaceae","Basselinia favieri","H.E.Moore"
"Arecaceae","Basselinia glabrata","Becc."
"Arecaceae","Basselinia gracilis","(Brongn. & Gris) Vieill."
"Arecaceae","Basselinia humboldtiana","(Brongn.) H.E.Moore"
"Arecaceae","Basselinia iterata","H.E.Moore"
"Arecaceae","Basselinia moorei","Pintaud & F.W.Stauffer"
"Arecaceae","Basselinia pancheri","(Brongn. & Gris) Vieill."
"Arecaceae","Basselinia porphyrea","H.E.Moore"
"Arecaceae","Basselinia sordida","H.E.Moore"
"Arecaceae","Basselinia tomentosa","Becc."
"Arecaceae","Basselinia velutina","Becc."
"Arecaceae","Basselinia vestita","H.E.Moore"
"Arecaceae","Burretiokentia dumasii","Pintaud & Hodel"
"Arecaceae","Burretiokentia grandiflora","Pintaud & Hodel"
"Arecaceae","Burretiokentia hapala","H.E.Moore"
"Arecaceae","Burretiokentia koghiensis","Pintaud & Hodel"
"Arecaceae","Burretiokentia vieillardii","(Brongn. & Gris) Pic.Serm."
"Arecaceae","Chambeyronia houailouensis","Hodel & C.F.Barrett"
"Arecaceae","Chambeyronia lepidota","H.E.Moore"
"Arecaceae","Chambeyronia macrocarpa","(Brongn.) Vieill. ex Becc."
"Arecaceae","Clinosperma bracteale","(Brongn.) Becc."
"Arecaceae","Clinosperma lanuginosa","(H.E.Moore) Pintaud & W.J.Baker"
"Arecaceae","Clinosperma macrocarpa","(H.E.Moore) Pintaud & W.J.Baker"
"Arecaceae","Clinosperma vaginata","(Brongn.) Pintaud & W.J.Baker"
"Arecaceae","Cyphokentia cerifera","(H.E.Moore) Pintaud & W.J.Baker"
"Arecaceae","Cyphokentia macrostachya","Brongn."
"Arecaceae","Cyphophoenix alba","(H.E.Moore) Pintaud & W.J.Baker"
"Arecaceae","Cyphophoenix elegans","(Brongn. & Gris) H.Wendl. ex Salomon"
"Arecaceae","Cyphophoenix fulcita","(Brongn.) Hook.f. ex Salomon"
"Arecaceae","Cyphophoenix nucele","H.E.Moore"
"Arecaceae","Cyphosperma balansae","(Brongn.) H.Wendl. ex Salomon"
"Arecaceae","Kentiopsis magnifica","(H.E.Moore) Pintaud & Hodel"
"Arecaceae","Kentiopsis oliviformis","(Brongn. & Gris) Brongn."
"Arecaceae","Kentiopsis piersoniorum","Pintaud & Hodel"
"Arecaceae","Kentiopsis pyriformis","Pintaud & Hodel"
"Arecaceae","Saribus jeanneneyi","(Becc.) Bacon & W.J.Baker"
"Argophyllaceae","Argophyllum nitidum","J.R.Forst. & G.Forst."
"Asparagaceae","Cordyline neocaledonica","(Baker) B.D.Jacks."
"Atherospermataceae","Nemuaron vieillardii","(Baill.) Baill."
"Balanopaceae","Balanops balansae","Baill."
"Balanopaceae","Balanops microstachya","Baill."
"Balanopaceae","Balanops oliviformis","Baill."
"Balanopaceae","Balanops pachyphylla","Baill. ex Guillaumin"
"Balanopaceae","Balanops pancheri","Baill."
"Balanopaceae","Balanops sparsifolia","(Schltr.) Hjelmq."
"Balanopaceae","Balanops vieillardii","Baill."
"Bignoniaceae","Deplanchea sessilifolia","(Vieill. ex Pancher) Steenis"
"Bignoniaceae","Deplanchea speciosa","Vieill."
"Bignoniaceae","Dolichandrone spathacea","(L.f.) Seem."
"Boraginaceae","Cordia aspera","G.Forst."
"Boraginaceae","Cordia dichotoma","G.Forst."
"Boraginaceae","Cordia subcordata","Lam."
"Boraginaceae","Heliotropium arboreum","(Blanco) Mabb."
"Burseraceae","Canarium balansae","Engl."
"Burseraceae","Canarium oleiferum","Baill."
"Burseraceae","Canarium trifoliolatum","Engl."
"Burseraceae","Canarium whitei","Guillaumin"
"Calophyllaceae","Calophyllum caledonicum","Vieill. ex Planch. & Triana"
"Calophyllaceae","Calophyllum inophyllum","L."
"Calophyllaceae","Mammea neurophylla","(Schltr.) Kosterm."
"Cannabaceae","Celtis conferta","Planch."
"Cannabaceae","Celtis paniculata","(Endl.) Planch."
"Cannabaceae","Trema cannabinum","Lour."
"Cannabaceae","Trema orientale","(L.) Blume"
"Cardiopteridaceae","Citronella macrocarpa","Hürl."
"Cardiopteridaceae","Citronella sarmentosa","(Baill.) R.A.Howard"
"Casuarinaceae","Casuarina collina","J.Poiss. ex Pancher & Sebert"
"Casuarinaceae","Casuarina equisetifolia","L."
"Casuarinaceae","Casuarina potamophila","Schltr."
"Casuarinaceae","Casuarina teres","Schltr."
"Casuarinaceae","Gymnostoma chamaecyparis","(Poiss.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma deplancheanum","(Miq.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma glaucescens","(Schltr.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma intermedium","(Poiss.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma leucodon","(Poiss.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma nodiflorum","(Thunb.) L.A.S.Johnson"
"Casuarinaceae","Gymnostoma poissonianum","(Schltr.) L.A.S.Johnson"
"Celastraceae","Cassine brachycremastra","(Guillaumin) I.H.Müll."
"Celastraceae","Denhamia fournieri","(Pancher & Sebert) M.P.Simmons"
"Celastraceae","Dicarpellum baillonianum","(Loes.) A.C.Sm."
"Celastraceae","Dicarpellum pancheri","(Baill.) A.C.Sm."
"Celastraceae","Dicarpellum paucisepalum","Hürl. ex M.P.Simmons"
"Celastraceae","Dicarpellum pronyense","(Guillaumin) A.C.Sm."
"Celastraceae","Elaeodendron cunninghamii","Montrouz."
"Celastraceae","Elaeodendron curtipendulum","Endl."
"Celastraceae","Elaeodendron pininsulare","Hürl."
"Celastraceae","Menepetalum cathoides","Loes."
"Celastraceae","Menepetalum salicifolium","Loes."
"Celastraceae","Menepetalum schlechteri","Loes."
"Celastraceae","Pleurostylia opposita","(Wall.) Alston"
"Celastraceae","Salaciopsis glomerata","Hürl."
"Celastraceae","Salaciopsis megaphylla","(Poiss. ex Guillaumin) Loes."
"Celastraceae","Salaciopsis neocaledonica","Baker f."
"Celastraceae","Salaciopsis sparsiflora","Hürl."
"Chloranthaceae","Ascarina rubricaulis","Solms"
"Chloranthaceae","Ascarina solmsiana","Schltr."
"Chrysobalanaceae","Hunga gerontogea","(Schltr.) Prance"
"Chrysobalanaceae","Hunga lifouana","(Däniker) Prance"
"Chrysobalanaceae","Hunga mackeeana","Prance"
"Chrysobalanaceae","Hunga minutiflora","(Baker f.) Prance"
"Chrysobalanaceae","Hunga rhamnoides","(Guillaumin) Prance"
"Clusiaceae","Garcinia amplexicaulis","Vieill. ex Pierre"
"Clusiaceae","Garcinia densiflora","Pierre"
"Clusiaceae","Garcinia hennecartii","Pierre ex Schltr."
"Clusiaceae","Garcinia mungotia","Planch. ex Pierre"
"Clusiaceae","Garcinia neglecta","Vieill."
"Clusiaceae","Garcinia pancheri","Pierre"
"Clusiaceae","Garcinia pedicellata","(G.Forst.) Seem."
"Clusiaceae","Garcinia puat","(Montrouz.) Guillaumin"
"Clusiaceae","Garcinia vieillardii","Pierre"
"Clusiaceae","Garcinia virgata","Vieill. ex Guillaumin"
"Clusiaceae","Montrouziera cauliflora","Planch. & Triana"
"Clusiaceae","Montrouziera gabriellae","Baill."
"Clusiaceae","Montrouziera sphaeroidea","Pancher ex Planch. & Triana"
"Combretaceae","Lumnitzera littorea","(Jack) Voigt"
"Combretaceae","Lumnitzera racemosa","Willd."
"Combretaceae","Terminalia catappa","L."
"Combretaceae","Terminalia cherrieri","MacKee"
"Combretaceae","Terminalia novocaledonica","Däniker"
"Cornaceae","Alangium salviifolium","(L.f.) Wangerin"
"Cornaceae","Alangium vitiense","(A.Gray) Baill. ex Harms"
"Corynocarpaceae","Corynocarpus dissimilis","Hemsl."
"Cunoniaceae","Codia albicans","Vieill. ex Pamp."
"Cunoniaceae","Codia albifrons","(Brongn. ex Schinz & Guillaumin) Baker f."
"Cunoniaceae","Codia belepensis","H.C.Hopkins"
"Cunoniaceae","Codia discolor","(Brongn. & Griseb) Guillaumin"
"Cunoniaceae","Codia ferruginea","Brongn. & Gris"
"Cunoniaceae","Codia incrassata","Pamp."
"Cunoniaceae","Codia jaffrei","H.C.Hopkins & Fogliani"
"Cunoniaceae","Codia mackeeana","H.C.Hopkins & Fogliani"
"Cunoniaceae","Codia montana","J.R.Forst. & G.Forst."
"Cunoniaceae","Codia nitida","Schltr."
"Cunoniaceae","Codia spatulata","Brongn. & Gris"
"Cunoniaceae","Codia triverticillata","H.C.Hopkins & Pillon"
"Cunoniaceae","Cunonia aoupiniensis","Hoogland"
"Cunoniaceae","Cunonia atrorubens","Schltr."
"Cunoniaceae","Cunonia austrocaledonica","Brongn. ex Guillaumin"
"Cunoniaceae","Cunonia balansae","Brongn. & Gris"
"Cunoniaceae","Cunonia bopopensis","Pillon & H.C.Hopkins"
"Cunoniaceae","Cunonia bullata","Brongn. & Gris"
"Cunoniaceae","Cunonia cerifera","Hoogland"
"Cunoniaceae","Cunonia deplanchei","Brongn. & Gris"
"Cunoniaceae","Cunonia lenormandii","Vieill. ex Brongn. & Gris"
"Cunoniaceae","Cunonia linearisepala","(Guillaumin) Bernardi"
"Cunoniaceae","Cunonia montana","(Brongn. & Gris) Schltr."
"Cunoniaceae","Cunonia pterophylla","(Brongn. & Gris) Schltr."
"Cunoniaceae","Cunonia pulchella","Brongn. & Gris"
"Cunoniaceae","Cunonia purpurea","Brongn. & Gris"
"Cunoniaceae","Cunonia rotundifolia","Däniker"
"Cunoniaceae","Cunonia varijuga","Hoogland"
"Cunoniaceae","Cunonia vieillardii","Brongn. & Gris"
"Cunoniaceae","Geissois balansae","Brongn. & Gris ex Guillaumin"
"Cunoniaceae","Geissois belema","Pillon & H.C.Hopkins"
"Cunoniaceae","Geissois bradfordii","H.C.Hopkins"
"Cunoniaceae","Geissois hippocastaneifolia","Guillaumin"
"Cunoniaceae","Geissois hirsuta","Brongn. & Gris"
"Cunoniaceae","Geissois lanceolata","(Guillaumin) H.C.Hopkins"
"Cunoniaceae","Geissois magnifica","Baker f."
"Cunoniaceae","Geissois montana","Vieill. ex Brongn. & Gris"
"Cunoniaceae","Geissois polyphylla","Lecard ex Guillaumin"
"Cunoniaceae","Geissois pruinosa","Brongn. & Gris"
"Cunoniaceae","Geissois racemosa","Labill."
"Cunoniaceae","Geissois trifoliolata","Guillaumin"
"Cunoniaceae","Geissois velutina","Guillaumin ex H.C.Hopkins"
"Cunoniaceae","Hooglandia ignambiensis","McPherson & Lowry"
"Cunoniaceae","Pancheria alaternoides","Brongn. & Gris"
"Cunoniaceae","Pancheria beauverdiana","Pamp."
"Cunoniaceae","Pancheria billardierei","(D. Don) Pamp."
"Cunoniaceae","Pancheria brunhesii","Pamp."
"Cunoniaceae","Pancheria calophylla","Guillaumin"
"Cunoniaceae","Pancheria confusa","Guillaumin"
"Cunoniaceae","Pancheria dognyensis","H.C.Hopkins, Pillon & J.Bradford"
"Cunoniaceae","Pancheria engleriana","Schltr."
"Cunoniaceae","Pancheria gatopensis","Vieill. ex Guillaumin"
"Cunoniaceae","Pancheria hirsuta","Vieill. ex Pamp."
"Cunoniaceae","Pancheria humboldtiana","Guillaumin"
"Cunoniaceae","Pancheria mcphersonii","H.C.Hopkins, Pillon & J.Bradford"
"Cunoniaceae","Pancheria multijuga","Guillaumin ex H.C.Hopkins & J.Bradford"
"Cunoniaceae","Pancheria phillyreoides","Brongn. & Gris ex Guillaumin"
"Cunoniaceae","Pancheria reticulata","Guillaumin"
"Cunoniaceae","Pancheria robusta","Guillaumin"
"Cunoniaceae","Pancheria ternata","Brongn. & Gris"
"Cunoniaceae","Pancheria xaragurensis","H.C.Hopkins & Pillon"
"Cunoniaceae","Spiraeanthemum brongniartianum","Schltr."
"Cunoniaceae","Spiraeanthemum collinum","(Hoogland) Pillon"
"Cunoniaceae","Spiraeanthemum ellipticum","Vieill. ex Pamp."
"Cunoniaceae","Spiraeanthemum meridionale","(Hoogland) Pillon"
"Cunoniaceae","Spiraeanthemum pedunculatum","Schltr."
"Cunoniaceae","Spiraeanthemum pubescens","Pamp."
"Cunoniaceae","Weinmannia dichotoma","Brongn. & Gris"
"Cunoniaceae","Weinmannia ouaiemensis","(Guillaumin & Virot) Hoogland"
"Cunoniaceae","Weinmannia paitensis","Schltr."
"Cunoniaceae","Weinmannia serrata","Brongn. & Gris"
"Cupressaceae","Callitris neocaledonica","Dümmer"
"Cupressaceae","Callitris pancheri","(Carrière) Byng"
"Cupressaceae","Callitris sulcata","(Parl.) Schltr."
"Cupressaceae","Libocedrus austrocaledonica","Brongn. & Gris."
"Cupressaceae","Libocedrus chevalieri","J.Buchholz"
"Cupressaceae","Libocedrus yateensis","Guillaumin"
"Cycadaceae","Cycas seemannii","A.Braun"
"Dilleniaceae","Hibbertia baudouinii","Brongn. & Gris"
"Dilleniaceae","Hibbertia bouletii","Veillon"
"Dilleniaceae","Hibbertia comptonii","Baker f."
"Dilleniaceae","Hibbertia deplancheana","Bureau ex Guillaumin"
"Dilleniaceae","Hibbertia ebracteata","Bureau ex Guillaumin"
"Dilleniaceae","Hibbertia emarginata","Guillaumin"
"Dilleniaceae","Hibbertia favieri","Veillon"
"Dilleniaceae","Hibbertia heterotricha","Bureau ex Guillaumin"
"Dilleniaceae","Hibbertia lanceolata","Bureau ex Guillaumin"
"Dilleniaceae","Hibbertia lucens","Brongn. & Gris"
"Dilleniaceae","Hibbertia margaretae","Veillon"
"Dilleniaceae","Hibbertia moratii","Veillon"
"Dilleniaceae","Hibbertia nana","Däniker"
"Dilleniaceae","Hibbertia pancheri","(Brongn. & Gris) Briq."
"Dilleniaceae","Hibbertia patula","Guillaumin"
"Dilleniaceae","Hibbertia podocarpifolia","Schltr."
"Dilleniaceae","Hibbertia pulchella","(Brongn. & Gris) Schltr."
"Dilleniaceae","Hibbertia rubescens","Vieill. ex Guillaumin"
"Dilleniaceae","Hibbertia tontoutensis","Guillaumin"
"Dilleniaceae","Hibbertia trachyphylla","Schltr."
"Dilleniaceae","Hibbertia vieillardii","Gilg"
"Dilleniaceae","Hibbertia wagapii","Gilg"
"Ebenaceae","Diospyros balansae","Guillaumin"
"Ebenaceae","Diospyros brassica","F.White"
"Ebenaceae","Diospyros calciphila","F.White"
"Ebenaceae","Diospyros cherrieri","F.White"
"Ebenaceae","Diospyros fasciculosa","(F.Muell.) F.Muell."
"Ebenaceae","Diospyros flavocarpa","(Vieill. ex P.Parm.) F.White"
"Ebenaceae","Diospyros glans","F.White"
"Ebenaceae","Diospyros hebecarpa","A.Cunn. ex Benth."
"Ebenaceae","Diospyros impolita","F.White"
"Ebenaceae","Diospyros labillardierei","F.White"
"Ebenaceae","Diospyros macrocarpa","Hiern"
"Ebenaceae","Diospyros margaretae","F.White"
"Ebenaceae","Diospyros minimifolia","F.White"
"Ebenaceae","Diospyros oubatchensis","Kosterm."
"Ebenaceae","Diospyros pancheri","Kosterm."
"Ebenaceae","Diospyros parviflora","(Schltr.) Bakh."
"Ebenaceae","Diospyros perplexa","F.White"
"Ebenaceae","Diospyros pustulata","F.White"
"Ebenaceae","Diospyros revolutissima","F.White"
"Ebenaceae","Diospyros rufotomentosa","G.E.Schatz & Lowry"
"Ebenaceae","Diospyros tireliae","F.White"
"Ebenaceae","Diospyros tridentata","F.White"
"Ebenaceae","Diospyros trisulca","F.White"
"Ebenaceae","Diospyros umbrosa","F.White"
"Ebenaceae","Diospyros veillonii","F.White"
"Ebenaceae","Diospyros vieillardii","(Hiern) Kosterm."
"Ebenaceae","Diospyros yaouhensis","(Schltr.) Kosterm."
"Elaeocarpaceae","Dubouzetia acuminata","Sprague"
"Elaeocarpaceae","Dubouzetia campanulata","Pancher ex Brongn. & Gris"
"Elaeocarpaceae","Dubouzetia caudiculata","Sprague"
"Elaeocarpaceae","Dubouzetia confusa","Guillaumin & Virot"
"Elaeocarpaceae","Dubouzetia elegans","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus alaternoides","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus baudouinii","Brogon. & Gris"
"Elaeocarpaceae","Elaeocarpus biflorus","Tirel"
"Elaeocarpaceae","Elaeocarpus brachypodus","Guillaumin"
"Elaeocarpaceae","Elaeocarpus bullatus","Tirel"
"Elaeocarpaceae","Elaeocarpus castaneifolius","Guillaumin"
"Elaeocarpaceae","Elaeocarpus colnettianus","Guillaumin"
"Elaeocarpaceae","Elaeocarpus comptonii","Baker f."
"Elaeocarpaceae","Elaeocarpus coumbouiensis","Guillaumin"
"Elaeocarpaceae","Elaeocarpus dognyensis","Guillaumin"
"Elaeocarpaceae","Elaeocarpus geminiflorus","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus gordonii","Tirel"
"Elaeocarpaceae","Elaeocarpus guillaumii","Vieill."
"Elaeocarpaceae","Elaeocarpus gummatus","Guillaumin"
"Elaeocarpaceae","Elaeocarpus hortensis","Guillaumin"
"Elaeocarpaceae","Elaeocarpus kaalensis","Däniker"
"Elaeocarpaceae","Elaeocarpus leratii","Schltr."
"Elaeocarpaceae","Elaeocarpus moratii","Tirel"
"Elaeocarpaceae","Elaeocarpus nodosus","Baker f."
"Elaeocarpaceae","Elaeocarpus ovigerus","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus rotundifolius","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus seringii","Montrouz."
"Elaeocarpaceae","Elaeocarpus speciosus","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus toninensis","Baker f."
"Elaeocarpaceae","Elaeocarpus tremulus","Tirel & McPherson"
"Elaeocarpaceae","Elaeocarpus vieillardii","Brongn. & Gris"
"Elaeocarpaceae","Elaeocarpus weibelianus","Tirel"
"Elaeocarpaceae","Elaeocarpus yateensis","Guillaumin"
"Elaeocarpaceae","Sloanea haplopoda","(Guillaumin) A.C.Sm."
"Elaeocarpaceae","Sloanea koghiensis","Tirel"
"Elaeocarpaceae","Sloanea lepida","Tirel"
"Elaeocarpaceae","Sloanea magnifolia","Tirel"
"Elaeocarpaceae","Sloanea montana","(Labill.) A.C.Sm."
"Elaeocarpaceae","Sloanea ramiflora","Tirel"
"Elaeocarpaceae","Sloanea raynaliana","Tirel"
"Elaeocarpaceae","Sloanea suaveolens","Tirel"
"Ericaceae","Dracophyllum verticillatum","Labill."
"Ericaceae","Leucopogon cymbulae","Labill."
"Ericaceae","Leucopogon dammarifolius","Brongn. & Gris"
"Ericaceae","Leucopogon macrocarpus","Schltr."
"Ericaceae","Leucopogon pancheri","Brongn. & Gris"
"Ericaceae","Styphelia balansae","Virot"
"Erythroxylaceae","Erythroxylum novocaledonicum","O.E.Schulz"
"Escalloniaceae","Polyosma brachystachys","Schltr."
"Escalloniaceae","Polyosma discolor","Baill."
"Escalloniaceae","Polyosma leratii","Guillaumin"
"Escalloniaceae","Polyosma pancheriana","Baill."
"Escalloniaceae","Polyosma spicata","Baill."
"Escalloniaceae","Polyosma subintegrifolia","(Guill.) Pillon"
"Euphorbiaceae","Acalypha balansae","Guillaumin"
"Euphorbiaceae","Acalypha grandis","Benth."
"Euphorbiaceae","Acalypha pancheriana","Baill."
"Euphorbiaceae","Alphandia furfuracea","Baill."
"Euphorbiaceae","Alphandia resinosa","Baill."
"Euphorbiaceae","Baloghia alternifolia","Baill."
"Euphorbiaceae","Baloghia anisomera","Guillaumin"
"Euphorbiaceae","Baloghia balansae","(Baill.) Pax"
"Euphorbiaceae","Baloghia brongniartii","(Baill.) Pax"
"Euphorbiaceae","Baloghia buchholzii","Guillaumin"
"Euphorbiaceae","Baloghia bureavii","(Baill.) Schltr."
"Euphorbiaceae","Baloghia inophylla","(G.Forst.) P.S.Green"
"Euphorbiaceae","Baloghia montana","(Müll.Arg.) Pax"
"Euphorbiaceae","Baloghia pininsularis","Guillaumin"
"Euphorbiaceae","Baloghia pulchella","Schltr. ex Pax"
"Euphorbiaceae","Bocquillonia arborea","Airy Shaw"
"Euphorbiaceae","Bocquillonia codonostylis","(Baill.) Airy Shaw"
